Year,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48,college_code,cfirst_assist_percentage,cfirst_assists,cfirst_block_percentage,cfirst_blocks,cfirst_box_plus_minus,cfirst_conference,cfirst_defensive_box_plus_minus,cfirst_defensive_rebound_percentage,cfirst_defensive_rebounds,cfirst_defensive_win_shares,cfirst_effective_field_goal_percentage,cfirst_field_goal_attempts,cfirst_field_goal_percentage,cfirst_field_goals,cfirst_free_throw_attempt_rate,cfirst_free_throw_attempts,cfirst_free_throw_percentage,cfirst_free_throws,cfirst_games_played,cfirst_games_started,cfirst_height,cfirst_minutes_played,cfirst_offensive_box_plus_minus,cfirst_offensive_rebound_percentage,cfirst_offensive_rebounds,cfirst_offensive_win_shares,cfirst_personal_fouls,cfirst_player_efficiency_rating,cfirst_player_id,cfirst_points,cfirst_points_produced,cfirst_position,cfirst_steal_percentage,cfirst_steals,cfirst_team_abbreviation,cfirst_three_point_attempt_rate,cfirst_three_point_attempts,cfirst_three_point_percentage,cfirst_three_pointers,cfirst_total_rebound_percentage,cfirst_total_rebounds,cfirst_true_shooting_percentage,cfirst_turnover_percentage,cfirst_turnovers,cfirst_two_point_attempts,cfirst_two_point_percentage,cfirst_two_pointers,cfirst_usage_percentage,cfirst_weight,cfirst_win_shares,cfirst_win_shares_per_40_minutes,clast_assist_percentage,clast_assists,clast_block_percentage,clast_blocks,clast_box_plus_minus,clast_conference,clast_defensive_box_plus_minus,clast_defensive_rebound_percentage,clast_defensive_rebounds,clast_defensive_win_shares,clast_effective_field_goal_percentage,clast_field_goal_attempts,clast_field_goal_percentage,clast_field_goals,clast_free_throw_attempt_rate,clast_free_throw_attempts,clast_free_throw_percentage,clast_free_throws,clast_games_played,clast_games_started,clast_height,clast_minutes_played,clast_offensive_box_plus_minus,clast_offensive_rebound_percentage,clast_offensive_rebounds,clast_offensive_win_shares,clast_personal_fouls,clast_player_efficiency_rating,clast_player_id,clast_points,clast_points_produced,clast_position,clast_steal_percentage,clast_steals,clast_team_abbreviation,clast_three_point_attempt_rate,clast_three_point_attempts,clast_three_point_percentage,clast_three_pointers,clast_total_rebound_percentage,clast_total_rebounds,clast_true_shooting_percentage,clast_turnover_percentage,clast_turnovers,clast_two_point_attempts,clast_two_point_percentage,clast_two_pointers,clast_usage_percentage,clast_weight,clast_win_shares,clast_win_shares_per_40_minutes
2018,1,1,PHO,Deandre Ayton,19.338,C,bs,University of Arizona,2019.0,2019.0,71.0,30.7,16.3,10.3,1.8,0.9,0.9,0.585,0.588,0.0,0.746,5.8,0.128,ARIZONA,10.2,57,6.1,66,10.9,pac-12,4.0,28.2,287,2.1,0.625,451,0.612,276,0.424,191,0.733,140,35,35,7-1,1172,6.8,13.5,118,5.5,81,32.6,deandre-ayton-1,704,666,Forward,1.0,20,arizona,0.078,35,0.343,12,21.4,405,0.65,11.3,69,416,0.635,264,26.6,250,7.6,0.259,10.2,57,6.1,66,10.9,pac-12,4.0,28.2,287,2.1,0.625,451,0.612,276,0.424,191,0.733,140,35,35,7-1,1172,6.8,13.5,118,5.5,81,32.6,deandre-ayton-1,704,666,Forward,1.0,20,arizona,0.078,35,0.343,12,21.4,405,0.65,11.3,69,416,0.635,264,26.6,250,7.6,0.259
2018,1,2,SAC,Marvin Bagley,19.104,F,us,Duke University,2019.0,2019.0,62.0,25.3,14.9,7.6,1.0,0.5,1.0,0.504,0.534,0.313,0.691,3.6,0.11,DUKE,8.8,50,2.6,29,10.7,acc,3.0,21.5,234,2.1,0.64,440,0.614,270,0.475,209,0.627,131,33,32,6-11,1118,7.7,13.8,132,4.8,60,30.6,marvin-bagleyiii-1,694,630,Forward,1.4,27,duke,0.132,58,0.397,23,17.9,366,0.643,12.2,75,382,0.647,247,26.3,234,6.9,0.248,8.8,50,2.6,29,10.7,acc,3.0,21.5,234,2.1,0.64,440,0.614,270,0.475,209,0.627,131,33,32,6-11,1118,7.7,13.8,132,4.8,60,30.6,marvin-bagleyiii-1,694,630,Forward,1.4,27,duke,0.132,58,0.397,23,17.9,366,0.643,12.2,75,382,0.647,247,26.3,234,6.9,0.248
2018,1,4,MEM,Jaren Jackson,18.284000000000002,F,us,Michigan State University,2019.0,2019.0,58.0,26.1,13.8,4.7,1.1,0.9,1.4,0.506,0.5529999999999999,0.359,0.7659999999999999,3.3,0.105,MICHIGAN-STATE,9.3,39,14.3,106,15.4,big-ten,10.3,19.7,151,2.2,0.595,232,0.513,119,0.573,133,0.797,106,35,34,6-11,764,5.1,8.8,52,2.3,112,26.9,jaren-jacksonjr-1,382,347,Forward,1.6,21,michigan-state,0.414,96,0.396,38,15.0,203,0.647,17.4,62,136,0.596,81,23.5,242,4.6,0.239,9.3,39,14.3,106,15.4,big-ten,10.3,19.7,151,2.2,0.595,232,0.513,119,0.573,133,0.797,106,35,34,6-11,764,5.1,8.8,52,2.3,112,26.9,jaren-jacksonjr-1,382,347,Forward,1.6,21,michigan-state,0.414,96,0.396,38,15.0,203,0.647,17.4,62,136,0.596,81,23.5,242,4.6,0.239
2018,1,5,DAL,Trae Young,19.28,G,us,University of Oklahoma,2019.0,2019.0,81.0,30.9,19.1,3.7,8.1,0.9,0.2,0.418,0.47700000000000004,0.324,0.8290000000000001,3.3,0.062,OKLAHOMA,48.6,279,0.7,8,11.7,big-12,0.5,10.0,111,1.1,0.518,618,0.422,261,0.443,274,0.861,236,32,32,6-2,1133,11.2,1.3,14,4.6,57,28.3,trae-young-1,876,935,Guard,2.5,54,oklahoma,0.531,328,0.36,118,5.8,125,0.585,18.2,167,290,0.493,143,37.1,180,5.7,0.201,48.6,279,0.7,8,11.7,big-12,0.5,10.0,111,1.1,0.518,618,0.422,261,0.443,274,0.861,236,32,32,6-2,1133,11.2,1.3,14,4.6,57,28.3,trae-young-1,876,935,Guard,2.5,54,oklahoma,0.531,328,0.36,118,5.8,125,0.585,18.2,167,290,0.493,143,37.1,180,5.7,0.201
2018,1,6,ORL,Mohamed Bamba,20.045,C,us,University of Texas at Austin,2019.0,2019.0,47.0,16.3,6.2,5.0,0.8,0.3,1.4,0.48100000000000004,0.555,0.3,0.5870000000000001,1.7,0.106,TEXAS,3.6,15,13.1,111,11.2,big-12,8.9,28.2,220,2.4,0.567,270,0.541,146,0.441,119,0.681,81,30,29,6-11,906,2.4,12.2,96,2.4,76,28.3,mohamed-bamba-1,387,377,Forward,1.5,23,texas,0.189,51,0.275,14,20.2,316,0.593,12.3,46,219,0.603,132,21.3,225,4.8,0.212,3.6,15,13.1,111,11.2,big-12,8.9,28.2,220,2.4,0.567,270,0.541,146,0.441,119,0.681,81,30,29,6-11,906,2.4,12.2,96,2.4,76,28.3,mohamed-bamba-1,387,377,Forward,1.5,23,texas,0.189,51,0.275,14,20.2,316,0.593,12.3,46,219,0.603,132,21.3,225,4.8,0.212
2018,1,7,CHI,Wendell Carter,19.070999999999998,C,us,Duke University,2019.0,2019.0,44.0,25.2,10.3,7.0,1.8,0.6,1.3,0.485,0.513,0.188,0.795,1.9,0.08,DUKE,13.0,74,7.6,76,13.5,acc,7.5,23.2,226,2.3,0.591,319,0.561,179,0.527,168,0.738,124,37,37,6-10,997,6.0,12.8,109,3.6,105,28.2,wendell-carterjr-1,501,501,Forward,1.7,30,duke,0.144,46,0.413,19,18.4,335,0.628,15.8,75,273,0.586,160,22.8,259,5.9,0.239,13.0,74,7.6,76,13.5,acc,7.5,23.2,226,2.3,0.591,319,0.561,179,0.527,168,0.738,124,37,37,6-10,997,6.0,12.8,109,3.6,105,28.2,wendell-carterjr-1,501,501,Forward,1.7,30,duke,0.144,46,0.413,19,18.4,335,0.628,15.8,75,273,0.586,160,22.8,259,5.9,0.239
2018,1,8,CLE,Collin Sexton,19.173,G,us,University of Alabama,2019.0,2019.0,82.0,31.8,16.7,2.9,3.0,0.5,0.1,0.43,0.44,0.402,0.8390000000000001,-0.6,-0.011000000000000001,ALABAMA,27.8,119,0.3,3,6.5,sec,0.0,9.8,90,1.2,0.498,438,0.447,196,0.575,252,0.778,196,33,32,6-3,987,6.5,4.1,34,3.2,81,23.5,collin-sexton-1,632,622,Guard,1.6,28,alabama,0.299,131,0.336,44,7.0,124,0.567,14.2,92,307,0.495,152,32.9,190,4.4,0.177,27.8,119,0.3,3,6.5,sec,0.0,9.8,90,1.2,0.498,438,0.447,196,0.575,252,0.778,196,33,32,6-3,987,6.5,4.1,34,3.2,81,23.5,collin-sexton-1,632,622,Guard,1.6,28,alabama,0.299,131,0.336,44,7.0,124,0.567,14.2,92,307,0.495,152,32.9,190,4.4,0.177
2018,1,9,NYK,Kevin Knox,18.319000000000003,F,us,University of Kentucky,2019.0,2019.0,75.0,28.8,12.8,4.5,1.1,0.6,0.3,0.37,0.387,0.34299999999999997,0.7170000000000001,-1.3,-0.03,KENTUCKY,8.7,53,1.0,10,4.8,sec,1.4,14.5,167,1.7,0.51,440,0.445,196,0.373,164,0.774,127,37,37,6-9,1198,3.4,3.3,33,2.3,82,17.0,kevin-knox-1,576,518,Forward,1.5,31,kentucky,0.38,167,0.341,57,9.3,200,0.556,14.1,85,273,0.509,139,24.6,215,4.0,0.133,8.7,53,1.0,10,4.8,sec,1.4,14.5,167,1.7,0.51,440,0.445,196,0.373,164,0.774,127,37,37,6-9,1198,3.4,3.3,33,2.3,82,17.0,kevin-knox-1,576,518,Forward,1.5,31,kentucky,0.38,167,0.341,57,9.3,200,0.556,14.1,85,273,0.509,139,24.6,215,4.0,0.133
2018,1,10,PHI,Mikal Bridges,21.3,G,us,Villanova University,2019.0,2019.0,82.0,29.5,8.3,3.2,2.1,1.6,0.5,0.43,0.5479999999999999,0.335,0.805,2.9,0.057999999999999996,VILLANOVA,7.5,35,3.6,26,11.5,big-east,6.3,12.5,92,1.9,0.591,165,0.521,86,0.455,75,0.787,59,40,0,6-7,813,5.2,5.7,36,2.0,89,18.4,mikal-bridges-1,254,247,Guard-Forward,3.1,42,villanova,0.467,77,0.299,23,9.3,128,0.633,10.7,24,88,0.716,63,14.5,191,3.9,0.193,10.6,77,3.5,43,13.2,big-east,4.4,13.8,158,2.4,0.623,475,0.514,244,0.282,134,0.851,114,40,40,6-7,1285,8.7,5.2,54,5.4,86,26.8,mikal-bridges-1,706,644,Guard-Forward,2.7,61,villanova,0.503,239,0.435,104,9.7,212,0.655,9.1,54,236,0.593,140,23.2,191,7.7,0.241
2018,1,11,CHO,Shai Gilgeous-Alexander,19.349,G,ca,University of Kentucky,2019.0,2019.0,82.0,26.5,10.8,2.8,3.3,1.2,0.5,0.47600000000000003,0.503,0.36700000000000005,0.8,3.3,0.07400000000000001,KENTUCKY,28.8,189,1.7,18,9.1,sec,3.6,10.0,120,1.9,0.516,377,0.485,183,0.464,175,0.817,143,37,24,6-6,1248,5.5,3.2,33,3.3,62,21.2,shai-gilgeous-alexander-1,532,571,Guard,2.8,61,kentucky,0.151,57,0.404,23,6.8,153,0.578,17.9,100,320,0.5,160,21.9,180,5.2,0.167,28.8,189,1.7,18,9.1,sec,3.6,10.0,120,1.9,0.516,377,0.485,183,0.464,175,0.817,143,37,24,6-6,1248,5.5,3.2,33,3.3,62,21.2,shai-gilgeous-alexander-1,532,571,Guard,2.8,61,kentucky,0.151,57,0.404,23,6.8,153,0.578,17.9,100,320,0.5,160,21.9,180,5.2,0.167
