clast_assist_percentage,clast_assists,clast_away_losses,clast_away_wins,clast_block_percentage,clast_blocks,clast_defensive_rebounds,clast_effective_field_goal_percentage,clast_field_goal_attempts,clast_field_goal_percentage,clast_field_goals,clast_free_throw_attempt_rate,clast_free_throw_attempts,clast_free_throw_percentage,clast_free_throws,clast_free_throws_per_field_goal_attempt,clast_games_played,clast_home_losses,clast_home_wins,clast_losses,clast_minutes_played,clast_net_rating,clast_offensive_rating,clast_offensive_rebound_percentage,clast_offensive_rebounds,clast_opp_assist_percentage,clast_opp_assists,clast_opp_block_percentage,clast_opp_blocks,clast_opp_defensive_rebounds,clast_opp_effective_field_goal_percentage,clast_opp_field_goal_attempts,clast_opp_field_goal_percentage,clast_opp_field_goals,clast_opp_free_throw_attempt_rate,clast_opp_free_throw_attempts,clast_opp_free_throw_percentage,clast_opp_free_throws,clast_opp_free_throws_per_field_goal_attempt,clast_opp_offensive_rating,clast_opp_offensive_rebound_percentage,clast_opp_offensive_rebounds,clast_opp_personal_fouls,clast_opp_points,clast_opp_steal_percentage,clast_opp_steals,clast_opp_three_point_attempt_rate,clast_opp_three_point_field_goal_attempts,clast_opp_three_point_field_goal_percentage,clast_opp_three_point_field_goals,clast_opp_total_rebound_percentage,clast_opp_total_rebounds,clast_opp_true_shooting_percentage,clast_opp_turnover_percentage,clast_opp_turnovers,clast_opp_two_point_field_goal_attempts,clast_opp_two_point_field_goal_percentage,clast_opp_two_point_field_goals,clast_pace,clast_personal_fouls,clast_points,clast_simple_rating_system,clast_steal_percentage,clast_steals,clast_strength_of_schedule,clast_three_point_attempt_rate,clast_three_point_field_goal_attempts,clast_three_point_field_goal_percentage,clast_three_point_field_goals,clast_total_rebound_percentage,clast_total_rebounds,clast_true_shooting_percentage,clast_turnover_percentage,clast_turnovers,clast_two_point_field_goal_attempts,clast_two_point_field_goal_percentage,clast_two_point_field_goals,clast_win_percentage,clast_wins,clast_abbreviation,clast_conference,clast_conference_losses,clast_conference_wins,clast_name
52.6,531,3,8,12.0,158,925,0.563,2003,0.504,1009,0.37,741,0.76,563,0.281,35,1,15,8,1420,12.699999999999989,115.6,33.2,352,49.8,443,6.8,92,708,0.499,2047,0.435,890,0.312,638,0.734,468,0.229,102.9,25.1,310,686,2509,8.8,214,0.356,729,0.358,261,44.4,1018,0.534,14.7,406,1318,0.477,629,68.7,603,2818,15.67,7.1,173,6.84,0.321,642,0.369,237,55.6,1277,0.598,15.3,426,1361,0.567,772,0.771,27,ARIZONA,pac-12,4.0,14.0,Arizona
57.6,648,5,6,12.4,185,1027,0.559,2288,0.492,1125,0.346,791,0.71,562,0.246,37,1,15,8,1490,20.700000000000003,118.5,38.6,492,56.1,537,6.7,97,784,0.464,2364,0.405,957,0.223,526,0.728,383,0.162,97.8,29.6,432,671,2576,8.0,210,0.368,871,0.32,279,44.5,1216,0.493,14.8,453,1493,0.454,678,70.7,574,3121,24.44,10.4,275,9.71,0.363,831,0.372,309,55.5,1519,0.586,14.7,460,1457,0.56,816,0.784,29,DUKE,acc,5.0,13.0,Duke
67.6,670,1,8,18.5,251,1038,0.569,1996,0.496,991,0.359,716,0.747,535,0.268,35,1,16,5,1405,22.400000000000006,117.2,36.8,401,54.1,419,6.9,88,689,0.427,2108,0.367,774,0.307,647,0.728,471,0.223,94.8,26.2,369,698,2271,8.6,207,0.355,748,0.337,252,42.4,1058,0.47,12.6,349,1360,0.384,522,68.2,640,2807,22.41,6.0,143,7.1,0.363,725,0.4,290,57.6,1439,0.601,16.4,459,1271,0.552,701,0.857,30,MICHIGAN-STATE,big-ten,2.0,16.0,Michigan State
50.2,479,9,2,11.0,151,892,0.535,2063,0.462,954,0.332,684,0.746,510,0.247,32,2,13,14,1295,4.200000000000003,109.7,28.3,337,48.9,471,11.5,141,854,0.51,2178,0.443,964,0.257,559,0.703,393,0.18,105.5,30.0,383,574,2614,8.7,215,0.372,810,0.362,293,50.2,1237,0.535,14.5,415,1368,0.49,671,76.5,551,2718,13.81,8.4,208,10.56,0.405,836,0.359,300,49.8,1229,0.569,15.2,428,1227,0.533,654,0.563,18,OKLAHOMA,big-12,10.0,8.0,Oklahoma
44.7,394,7,3,12.8,168,859,0.5,2010,0.439,882,0.33,663,0.665,441,0.219,34,4,13,15,1410,4.800000000000011,103.9,29.3,358,48.8,420,8.0,100,863,0.483,2028,0.425,861,0.262,532,0.712,379,0.187,99.1,29.1,353,606,2338,7.7,181,0.352,714,0.332,237,50.0,1216,0.513,15.7,425,1314,0.475,624,66.9,547,2450,13.96,8.9,209,10.67,0.381,766,0.32,245,50.0,1217,0.527,14.6,399,1244,0.512,637,0.559,19,TEXAS,big-12,10.0,8.0,Texas
57.6,648,5,6,12.4,185,1027,0.559,2288,0.492,1125,0.346,791,0.71,562,0.246,37,1,15,8,1490,20.700000000000003,118.5,38.6,492,56.1,537,6.7,97,784,0.464,2364,0.405,957,0.223,526,0.728,383,0.162,97.8,29.6,432,671,2576,8.0,210,0.368,871,0.32,279,44.5,1216,0.493,14.8,453,1493,0.454,678,70.7,574,3121,24.44,10.4,275,9.71,0.363,831,0.372,309,55.5,1519,0.586,14.7,460,1457,0.56,816,0.784,29,DUKE,acc,5.0,13.0,Duke
50.3,458,8,2,14.7,192,932,0.519,1975,0.461,910,0.419,828,0.67,555,0.281,36,4,12,16,1440,2.4000000000000057,103.0,29.3,358,48.7,427,10.5,134,863,0.478,2109,0.416,877,0.365,769,0.685,527,0.25,100.6,30.8,414,718,2543,9.4,237,0.379,799,0.328,262,49.7,1277,0.514,16.0,473,1310,0.469,615,70.2,676,2604,12.34,9.0,228,10.64,0.355,702,0.326,229,50.3,1290,0.55,17.8,513,1273,0.535,681,0.556,20,ALABAMA,sec,10.0,8.0,Alabama
49.0,489,6,4,13.7,176,992,0.518,2115,0.472,998,0.44,930,0.698,649,0.307,37,2,16,11,1485,9.299999999999997,109.6,35.3,439,52.2,472,8.5,134,803,0.468,2242,0.404,905,0.323,725,0.692,502,0.224,100.3,30.6,437,761,2599,8.2,212,0.426,955,0.301,287,46.4,1240,0.502,14.4,436,1287,0.48,618,69.8,702,2840,17.24,8.0,208,10.73,0.258,546,0.357,195,53.6,1431,0.555,15.8,480,1569,0.512,803,0.703,26,KENTUCKY,sec,8.0,10.0,Kentucky
53.7,655,3,9,10.5,162,1056,0.595,2440,0.5,1220,0.294,718,0.779,559,0.229,40,1,12,4,1615,23.10000000000001,122.2,29.1,380,51.8,532,8.2,105,928,0.485,2401,0.428,1028,0.267,641,0.747,479,0.2,99.1,26.4,378,698,2807,6.8,193,0.357,858,0.317,272,47.6,1306,0.519,15.9,512,1543,0.49,756,70.2,645,3463,26.64,9.1,259,10.24,0.475,1158,0.401,464,52.4,1436,0.623,13.3,426,1282,0.59,756,0.9,36,VILLANOVA,big-east,4.0,14.0,Villanova
49.0,489,6,4,13.7,176,992,0.518,2115,0.472,998,0.44,930,0.698,649,0.307,37,2,16,11,1485,9.299999999999997,109.6,35.3,439,52.2,472,8.5,134,803,0.468,2242,0.404,905,0.323,725,0.692,502,0.224,100.3,30.6,437,761,2599,8.2,212,0.426,955,0.301,287,46.4,1240,0.502,14.4,436,1287,0.48,618,69.8,702,2840,17.24,8.0,208,10.73,0.258,546,0.357,195,53.6,1431,0.555,15.8,480,1569,0.512,803,0.703,26,KENTUCKY,sec,8.0,10.0,Kentucky
